,station,monetary,frequency,recency
0,Aotizhongxin,389002.9129548854,12578,12.0
1,Changping,326263.4334102564,10488,12.0
2,Dingling,255232.06317489178,8801,16.0
3,Dongsi,428113.1040035565,13670,20.0
4,Guanyuan,388534.96325274726,12283,29.0
5,Gucheng,352932.34354859876,11291,15.0
6,Huairou,261675.74298913567,8579,23.0
7,Nongzhanguan,416589.01978874457,13159,18.0
8,Shunyi,297915.3424238095,9599,0.0
9,Tiantan,307544.7542195051,10124,20.0
10,Wanliu,414081.034,13454,14.0
11,Wanshouxigong,378716.84592362045,11755,29.0
